std Years = 1981-2010
DOY,   Average Extent,   Std Deviation,      10th,      25th,      50th,      75th,      90th
305,           17.367,           0.376,    16.996,    17.105,    17.316,    17.682,    17.846
306,           17.312,           0.361,    16.890,    17.075,    17.280,    17.587,    17.821
307,           17.229,           0.354,    16.845,    16.976,    17.192,    17.508,    17.695
308,           17.153,           0.349,    16.777,    16.890,    17.120,    17.390,    17.610
309,           17.081,           0.356,    16.671,    16.824,    17.040,    17.301,    17.594
310,           17.011,           0.341,    16.632,    16.741,    17.005,    17.228,    17.477
311,           16.934,           0.324,    16.576,    16.676,    16.972,    17.132,    17.341
312,           16.848,           0.324,    16.508,    16.623,    16.841,    17.097,    17.271
313,           16.762,           0.328,    16.408,    16.538,    16.750,    17.009,    17.166
314,           16.667,           0.333,    16.294,    16.442,    16.644,    16.943,    17.057
315,           16.562,           0.321,    16.153,    16.377,    16.568,    16.768,    16.940
316,           16.472,           0.334,    16.038,    16.265,    16.491,    16.701,    16.940
317,           16.378,           0.339,    16.015,    16.145,    16.375,    16.615,    16.822
318,           16.272,           0.349,    15.918,    16.025,    16.296,    16.527,    16.660
319,           16.175,           0.347,    15.874,    15.939,    16.209,    16.400,    16.556
320,           16.061,           0.348,    15.726,    15.833,    16.084,    16.263,    16.450
321,           15.925,           0.356,    15.569,    15.662,    15.975,    16.185,    16.300
322,           15.797,           0.364,    15.430,    15.559,    15.813,    16.068,    16.158
323,           15.665,           0.383,    15.234,    15.436,    15.653,    15.962,    16.043
324,           15.509,           0.395,    15.101,    15.264,    15.497,    15.838,    15.861
325,           15.368,           0.420,    14.880,    15.144,    15.390,    15.667,    15.737
326,           15.213,           0.414,    14.749,    14.962,    15.279,    15.483,    15.588
327,           15.069,           0.433,    14.526,    14.821,    15.136,    15.346,    15.478
328,           14.896,           0.456,    14.411,    14.608,    14.933,    15.169,    15.372
329,           14.740,           0.470,    14.249,    14.504,    14.735,    15.026,    15.240
330,           14.575,           0.474,    14.026,    14.309,    14.593,    14.861,    15.062
331,           14.417,           0.475,    13.813,    14.194,    14.415,    14.742,    14.942
332,           14.239,           0.488,    13.604,    13.947,    14.261,    14.551,    14.798
333,           14.055,           0.508,    13.481,    13.810,    14.083,    14.313,    14.636
334,           13.868,           0.525,    13.309,    13.546,    13.887,    14.148,    14.479
335,           13.685,           0.528,    13.111,    13.361,    13.681,    14.042,    14.324
336,           13.513,           0.544,    12.957,    13.212,    13.485,    13.846,    14.142
337,           13.294,           0.541,    12.637,    13.047,    13.261,    13.634,    13.940
338,           13.105,           0.551,    12.478,    12.830,    13.075,    13.374,    13.766
339,           12.904,           0.574,    12.210,    12.589,    12.844,    13.184,    13.621
340,           12.703,           0.616,    11.935,    12.325,    12.616,    13.039,    13.474
341,           12.495,           0.627,    11.791,    12.109,    12.498,    12.864,    13.377
342,           12.290,           0.646,    11.571,    11.958,    12.257,    12.673,    13.225
343,           12.068,           0.665,    11.340,    11.706,    12.064,    12.494,    13.035
344,           11.859,           0.676,    11.059,    11.520,    11.858,    12.216,    12.837
345,           11.659,           0.703,    10.789,    11.208,    11.739,    11.986,    12.663
346,           11.436,           0.733,    10.546,    10.936,    11.482,    11.789,    12.498
347,           11.222,           0.754,    10.340,    10.675,    11.291,    11.532,    12.304
348,           10.998,           0.784,    10.082,    10.425,    11.076,    11.388,    12.165
349,           10.755,           0.802,     9.745,    10.206,    10.795,    11.194,    11.931
350,           10.498,           0.809,     9.500,     9.946,    10.536,    10.861,    11.629
351,           10.247,           0.792,     9.301,     9.592,    10.249,    10.537,    11.276
352,            9.984,           0.769,     9.138,     9.391,     9.955,    10.257,    10.965
353,            9.732,           0.775,     8.868,     9.191,     9.658,    10.038,    10.665
354,            9.480,           0.769,     8.663,     8.988,     9.386,     9.766,    10.387
355,            9.255,           0.765,     8.380,     8.748,     9.168,     9.495,    10.138
356,            9.039,           0.748,     8.210,     8.578,     8.951,     9.297,     9.912
357,            8.835,           0.738,     8.062,     8.412,     8.753,     9.015,     9.708
358,            8.631,           0.722,     7.884,     8.221,     8.527,     8.886,     9.448
359,            8.416,           0.718,     7.667,     8.054,     8.262,     8.833,     9.188
360,            8.224,           0.710,     7.458,     7.869,     8.068,     8.553,     8.940
361,            8.018,           0.700,     7.233,     7.632,     7.916,     8.317,     8.741
362,            7.811,           0.672,     7.078,     7.345,     7.738,     8.052,     8.448
363,            7.624,           0.664,     6.821,     7.242,     7.592,     7.879,     8.313
364,            7.406,           0.636,     6.678,     7.030,     7.350,     7.680,     8.051
365,            7.222,           0.609,     6.541,     6.838,     7.144,     7.488,     7.854
366,            7.059,           0.604,     6.389,     6.713,     6.956,     7.374,     7.721
